grid_num,col1_type,col1_code,col1_label,col2_type,col2_code,col2_label,col3_type,col3_code,col3_label,row1_type,row1_code,row1_label,row2_type,row2_code,row2_label,row3_type,row3_code,row3_label
1,team,TOR,Toronto  Blue Jays,stat,,Hall of Fame,stat,,All Star,team,TEX,Texas Rangers,team,BOS,Boston   Red Sox,team,CIN,Cincinnati Reds
2,team,WSN,Washington Nationals,stat,,All Star,stat,,World Series ChampWS Roster,team,NYY,New York Yankees,team,HOU,Houston Astros,team,NYM,New York Mets
3,team,MIN,Minnesota Twins,stat,,MVP,stat,,Cy Young,team,DET,Detroit Tigers,team,LAD,Los Angeles Dodgers,team,ATL,Atlanta Braves
4,team,BAL,Baltimore Orioles,stat,,Silver Slugger,stat,,MVP,team,TEX,Texas Rangers,team,FLA,Miami Marlins,team,SFG,San Francisco Giants
5,team,CLE,Cleveland Guardians,stat,,Gold Glove,stat,,Cy Young,team,CHC,Chicago Cubs,team,MIL,Milwaukee Brewers,team,NYM,New York Mets
6,team,SEA,Seattle Mariners,stat,,Cy Young,stat,,World Series ChampWS Roster,team,NYY,New York Yankees,team,KCR,Kansas City Royals,team,PHI,Philadelphia Phillies
7,team,BOS,Boston   Red Sox,stat,,Hall of Fame,stat,,Gold Glove,team,TEX,Texas Rangers,team,CLE,Cleveland Guardians,team,TOR,Toronto  Blue Jays
8,team,CHC,Chicago Cubs,stat,,Gold Glove,stat,,Hall of Fame,team,HOU,Houston Astros,team,MIN,Minnesota Twins,team,ATL,Atlanta Braves
9,team,CIN,Cincinnati Reds,stat,,Rookie of the Year,stat,,Gold Glove,team,CHW,Chicago  White Sox,team,PIT,Pittsburgh Pirates,team,PHI,Philadelphia Phillies
10,team,NYY,New York Yankees,stat,,Gold Glove,stat,,Rookie of the Year,team,DET,Detroit Tigers,team,OAK, Athletics,team,SDP,San Diego Padres
11,team,SDP,San Diego Padres,stat,,Hall of Fame,stat,,All Star,team,KCR,Kansas City Royals,team,CHC,Chicago Cubs,team,CLE,Cleveland Guardians
12,team,HOU,Houston Astros,stat,,Cy Young,stat,,Rookie of the Year,team,SFG,San Francisco Giants,team,TBD,Tampa Bay Rays,team,MIL,Milwaukee Brewers
13,team,PHI,Philadelphia Phillies,stat,,All Star,stat,,Gold Glove,team,TEX,Texas Rangers,team,CHC,Chicago Cubs,team,ARI,Arizona Diamondbacks
14,team,SEA,Seattle Mariners,stat,,Silver Slugger,stat,,All Star,team,MIL,Milwaukee Brewers,team,HOU,Houston Astros,team,CIN,Cincinnati Reds
15,team,LAD,Los Angeles Dodgers,stat,,Silver Slugger,stat,,Gold Glove,team,SEA,Seattle Mariners,team,BOS,Boston   Red Sox,team,BAL,Baltimore Orioles
16,team,PHI,Philadelphia Phillies,stat,,Gold Glove,stat,,Cy Young,team,CLE,Cleveland Guardians,team,DET,Detroit Tigers,team,SFG,San Francisco Giants
17,team,BOS,Boston   Red Sox,stat,,Silver Slugger,stat,,Gold Glove,team,PHI,Philadelphia Phillies,team,CHC,Chicago Cubs,team,CHW,Chicago  White Sox
18,team,TBD,Tampa Bay Rays,stat,,MVP,stat,,Rookie of the Year,team,WSN,Washington Nationals,team,PHI,Philadelphia Phillies,team,TOR,Toronto  Blue Jays
19,team,PIT,Pittsburgh Pirates,stat,,Cy Young,stat,,Silver Slugger,team,LAD,Los Angeles Dodgers,team,MIL,Milwaukee Brewers,team,CHW,Chicago  White Sox
20,team,CHC,Chicago Cubs,stat,,Silver Slugger,stat,,Rookie of the Year,team,STL,St. Louis Cardinals,team,TBD,Tampa Bay Rays,team,COL,Colorado Rockies
21,team,HOU,Houston Astros,stat,,All Star,stat,,Rookie of the Year,team,ATL,Atlanta Braves,team,CHW,Chicago  White Sox,team,ANA,Los Angeles Angels
22,team,BOS,Boston   Red Sox,stat,,Silver Slugger,stat,,All Star,team,TBD,Tampa Bay Rays,team,ANA,Los Angeles Angels,team,TEX,Texas Rangers
23,team,ARI,Arizona Diamondbacks,stat,,MVP,stat,,Rookie of the Year,team,PHI,Philadelphia Phillies,team,SDP,San Diego Padres,team,ATL,Atlanta Braves
24,team,HOU,Houston Astros,stat,,Hall of Fame,stat,,Gold Glove,team,CHW,Chicago  White Sox,team,PHI,Philadelphia Phillies,team,TEX,Texas Rangers
