yearID,bbrefID,Player,Team,WAR
2020,ozunama01,Marcell Ozuna,ATL,2.8
2020,lindofr01,Francisco Lindor,CLE,1.3
2020,biggica01,Cavan Biggio,TOR,2.2
2020,merriwh01,Whit Merrifield,KCR,0.7
2020,swansda01,Dansby Swanson,ATL,2.8
2020,abreujo02,José Abreu,CHW,2.7
2020,freemfr01,Freddie Freeman,ATL,3.3
2020,hernace02,César Hernández,CLE,1.7
2020,storytr01,Trevor Story,COL,2.5
2020,turnetr01,Trea Turner,WSN,2.8
2020,tatisfe02,Fernando Tatis Jr.,SDP,2.8
2020,santaca01,Carlos Santana,CLE,1.0
2020,machama01,Manny Machado,SDP,3.0
2020,ramirjo01,José Ramírez,CLE,2.5
2020,grishtr01,Trent Grisham,SDP,2.5
2020,martest01,Starling Marte,2TM,1.6
2020,martest01,Starling Marte,ARI,1.1
2020,martest01,Starling Marte,MIA,0.5
2020,deverra01,Rafael Devers,BOS,0.8
2020,muncyma01,Max Muncy,LAD,0.5
2020,seageky01,Kyle Seager,SEA,1.2
2020,blackch02,Charlie Blackmon,COL,1.0
2020,yelicch01,Christian Yelich,MIL,0.5
2020,bettsmo01,Mookie Betts,LAD,3.7
2020,hiurake01,Keston Hiura,MIL,-0.3
2020,olsonma02,Matt Olson,OAK,1.3
2020,harpebr03,Bryce Harper,PHI,1.9
2020,bellico01,Cody Bellinger,LAD,1.5
2020,canhama01,Mark Canha,OAK,1.5
2020,francma02,Maikel Franco,KCR,1.1
2020,guerrvl02,Vladimir Guerrero Jr.,TOR,0.7
2020,rizzoan01,Anthony Rizzo,CHC,1.0
2020,walkech02,Christian Walker,ARI,0.9
2020,casteni01,Nick Castellanos,CIN,0.0
2020,lewisky01,Kyle Lewis,SEA,1.6
2020,mccutan01,Andrew McCutchen,PHI,-0.1
2020,reyesfr01,Franmil Reyes,CLE,0.4
2020,troutmi01,Mike Trout,LAA,1.8
2020,alonspe01,Pete Alonso,NYM,0.1
2020,gregodi01,Didi Gregorius,PHI,1.1
2020,martijd02,J.D. Martinez,BOS,-0.7
2020,semiema01,Marcus Semien,OAK,0.4
2020,baezja01,Javier Báez,CHC,0.7
2020,voitlu01,Luke Voit,NYY,1.7
2020,confomi01,Michael Conforto,NYM,2.1
2020,mondera02,Adalberto Mondesí,KCR,1.3
2020,solakni01,Nick Solak,TEX,-1.1
2020,crawfjp01,J.P. Crawford,SEA,1.6
2020,rendoan01,Anthony Rendon,LAA,2.2
2020,seageco01,Corey Seager,LAD,2.0
2020,alberha01,Hanser Alberto,BAL,0.7
2020,cabremi01,Miguel Cabrera,DET,0.1
2020,goldspa01,Paul Goldschmidt,STL,2.0
2020,grichra01,Randal Grichuk,TOR,0.4
2020,happia01,Ian Happ,CHC,1.3
2020,moncayo01,Yoán Moncada,CHW,0.6
2020,rosared01,Eddie Rosario,MIN,1.2
2020,suareeu01,Eugenio Suárez,CIN,0.5
2020,fletcda02,David Fletcher,LAA,1.9
2020,fraziad01,Adam Frazier,PIT,0.8
2020,gourryu01,Yuli Gurriel,HOU,-0.1
2020,anderbr06,Brian Anderson,MIA,1.8
2020,davisjd01,J.D. Davis,NYM,0.0
2020,calhoko01,Kole Calhoun,ARI,1.4
2020,kineris01,Isiah Kiner-Falefa,TEX,2.1
2020,tuckeky01,Kyle Tucker,HOU,1.9
2020,lasteto01,Tommy La Stella,2TM,0.9
2020,lasteto01,Tommy La Stella,LAA,0.4
2020,lasteto01,Tommy La Stella,OAK,0.6
2020,edmanto01,Tommy Edman,STL,1.1
2020,roberlu01,Luis Robert Jr.,CHW,1.9
2020,gallojo01,Joey Gallo,TEX,1.6
2020,jimenel02,Eloy Jiménez,CHW,1.4
2020,polanjo01,Jorge Polanco,MIN,0.0
2020,bogaexa01,Xander Bogaerts,BOS,1.2
2020,contrwi01,Willson Contreras,CHC,1.0
2020,nimmobr01,Brandon Nimmo,NYM,1.7
2020,yastrmi01,Mike Yastrzemski,SFG,2.7
2020,gurrilo01,Lourdes Gurriel Jr.,TOR,1.1
2020,lowebr01,Brandon Lowe,TBR,2.4
2020,schwaky01,Kyle Schwarber,CHC,0.1
2020,belljo02,Josh Bell,PIT,-0.5
2020,vottojo01,Joey Votto,CIN,0.1
2020,pillake01,Kevin Pillar,2TM,0.9
2020,pillake01,Kevin Pillar,BOS,0.7
2020,pillake01,Kevin Pillar,COL,0.2
2020,escobed01,Eduardo Escobar,ARI,-0.4
2020,laurera01,Ramón Laureano,OAK,1.4
2020,springe01,George Springer,HOU,2.2
2020,anderti01,Tim Anderson,CHW,2.5
2020,correca01,Carlos Correa,HOU,1.6
2020,verdual01,Alex Verdugo,BOS,2.2
2020,myerswi01,Wil Myers,SDP,1.9
2020,peralda01,David Peralta,ARI,0.7
2020,ahmedni01,Nick Ahmed,ARI,1.6
2020,bradlja02,Jackie Bradley Jr.,BOS,2.0
2020,segurje01,Jean Segura,PHI,1.4
2020,aguilje01,Jesús Aguilar,MIA,0.5
2020,lemahdj01,DJ LeMahieu,NYY,3.0
2020,nunezre01,Renato Núñez,BAL,0.6
2020,cruzne02,Nelson Cruz,MIN,1.8
2020,tayloch03,Chris Taylor,LAD,1.8
2020,cabreas01,Asdrúbal Cabrera,WSN,0.1
2020,florewi01,Wilmer Flores,SFG,1.2
2020,reyesvi01,Víctor Reyes,DET,0.8
2020,hicksaa01,Aaron Hicks,NYY,0.7
2020,altuvjo01,Jose Altuve,HOU,-0.3
2020,dickeco01,Corey Dickerson,MIA,0.2
2020,polloaj01,AJ Pollock,LAD,0.8
2020,reddijo01,Josh Reddick,HOU,-0.4
2020,duvalad01,Adam Duvall,ATL,0.8
2020,longoev01,Evan Longoria,SFG,0.6
2020,mcneije01,Jeff McNeil,NYM,1.5
2020,reynobr01,Bryan Reynolds,PIT,0.5
2020,wongko01,Kolten Wong,STL,1.3
2020,garciav01,Avisaíl García,MIL,-0.3
2020,hernate01,Teoscar Hernández,TOR,1.5
2020,villajo01,Jonathan Villar,2TM,-0.3
2020,villajo01,Jonathan Villar,MIA,-0.1
2020,villajo01,Jonathan Villar,TOR,-0.2
2020,candeje01,Jeimer Candelario,DET,2.1
2020,rileyau01,Austin Riley,ATL,-0.4
2020,tapiara01,Raimel Tapia,COL,0.8
2020,adamewi01,Willy Adames,TBR,1.8
2020,sanomi01,Miguel Sanó,MIN,0.1
2020,ruizri01,Rio Ruiz,BAL,0.6
2020,solando01,Donovan Solano,SFG,1.5
2020,acunaro01,Ronald Acuña Jr.,ATL,2.4
