playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,WAR
abbotco01,2021,1,CHN,NL,8,3,0,1,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
abramcj01,2022,1,SDN,NL,46,125,16,29,5,0,2,11.0,1.0,2.0,4,27.0,0.0,6.0,2.0,2.0,4.0,0.1
abramcj01,2022,2,WAS,NL,44,159,17,41,7,2,0,10.0,6.0,2.0,1,23.0,0.0,3.0,0.0,0.0,1.0,0.0
abramcj01,2023,1,WAS,NL,151,563,83,138,28,6,18,64.0,47.0,4.0,32,118.0,2.0,13.0,3.0,3.0,7.0,3.5
abramcj01,2024,1,WAS,NL,138,541,79,133,29,6,20,65.0,31.0,12.0,40,128.0,3.0,16.0,1.0,4.0,4.0,3.3
abramcj01,2025,1,WAS,NL,144,580,92,149,35,5,19,60.0,31.0,3.0,37,125.0,1.0,14.0,1.0,3.0,5.0,3.4
abreujo02,2020,1,CHA,AL,60,240,43,76,15,0,19,60.0,0.0,0.0,18,59.0,1.0,3.0,0.0,1.0,10.0,2.7
abreujo02,2021,1,CHA,AL,152,566,86,148,30,2,30,117.0,1.0,0.0,61,143.0,3.0,22.0,0.0,10.0,28.0,3.0
abreujo02,2022,1,CHA,AL,157,601,85,183,40,0,15,75.0,0.0,0.0,62,110.0,2.0,12.0,0.0,4.0,19.0,4.3
abreujo02,2023,1,HOU,AL,141,540,62,128,23,1,18,90.0,0.0,1.0,42,130.0,1.0,6.0,0.0,6.0,16.0,-0.1
abreujo02,2024,1,HOU,AL,35,113,10,14,2,0,2,7.0,0.0,0.0,4,28.0,0.0,2.0,0.0,1.0,4.0,-1.7
abreuwi02,2023,1,BOS,AL,28,76,10,24,6,0,2,14.0,3.0,1.0,9,23.0,0.0,0.0,0.0,0.0,0.0,0.7
abreuwi02,2024,1,BOS,AL,132,399,59,101,33,2,15,58.0,8.0,3.0,40,125.0,0.0,3.0,0.0,5.0,7.0,3.6
abreuwi02,2025,1,BOS,AL,115,373,53,92,17,0,22,69.0,6.0,3.0,40,101.0,5.0,0.0,1.0,3.0,8.0,3.2
acostma02,2025,1,MIA,NL,19,54,7,11,1,0,3,5.0,1.0,2.0,6,17.0,0.0,1.0,0.0,0.0,0.0,0.0
acunalu01,2024,1,NYN,NL,14,39,6,12,2,1,3,6.0,0.0,1.0,1,6.0,0.0,0.0,0.0,0.0,1.0,0.5
acunalu01,2025,1,NYN,NL,95,175,30,41,7,0,0,8.0,16.0,1.0,13,37.0,0.0,2.0,2.0,1.0,6.0,0.6
acunaro01,2020,1,ATL,NL,46,160,46,40,11,0,14,29.0,8.0,1.0,38,60.0,2.0,4.0,0.0,0.0,3.0,2.4
acunaro01,2021,1,ATL,NL,82,297,72,84,19,1,24,52.0,17.0,6.0,49,85.0,2.0,9.0,0.0,5.0,0.0,3.5
acunaro01,2022,1,ATL,NL,119,467,71,124,24,0,15,50.0,29.0,11.0,53,126.0,4.0,10.0,0.0,3.0,8.0,2.3
acunaro01,2023,1,ATL,NL,158,643,149,217,35,4,41,106.0,73.0,14.0,80,84.0,3.0,9.0,0.0,3.0,15.0,8.4
acunaro01,2024,1,ATL,NL,49,192,38,48,8,1,4,15.0,16.0,3.0,27,53.0,0.0,3.0,0.0,0.0,4.0,0.0
acunaro01,2025,1,ATL,NL,95,338,74,98,12,1,21,42.0,9.0,1.0,71,102.0,4.0,3.0,0.0,0.0,5.0,3.0
adamewi01,2020,1,TBA,AL,54,185,29,48,15,1,8,23.0,2.0,1.0,20,74.0,0.0,0.0,0.0,0.0,4.0,1.8
adamewi01,2021,1,TBA,AL,41,132,16,26,6,1,5,15.0,1.0,2.0,10,51.0,0.0,0.0,0.0,0.0,1.0,0.7
adamewi01,2021,2,MIL,NL,99,365,61,104,26,0,20,58.0,4.0,2.0,47,105.0,1.0,0.0,0.0,1.0,8.0,3.6
adamewi01,2022,1,MIL,NL,139,563,83,134,31,0,31,98.0,8.0,3.0,49,166.0,3.0,1.0,0.0,4.0,11.0,4.3
adamewi01,2023,1,MIL,NL,149,553,73,120,29,2,24,80.0,5.0,3.0,71,165.0,1.0,6.0,0.0,6.0,12.0,2.9
adamewi01,2024,1,MIL,NL,161,610,93,153,33,0,32,112.0,21.0,4.0,74,173.0,3.0,1.0,0.0,3.0,12.0,3.2
adamewi01,2025,1,SFN,NL,160,591,94,133,22,2,30,87.0,12.0,4.0,80,179.0,2.0,5.0,0.0,9.0,9.0,3.7
adamsau02,2020,1,SDN,NL,3,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
adamsjo03,2023,1,LAA,AL,17,39,1,5,0,0,0,1.0,1.0,2.0,0,16.0,0.0,0.0,0.0,1.0,0.0,-0.7
adamsjo03,2024,1,LAA,AL,11,35,4,8,0,0,1,4.0,2.0,0.0,3,12.0,0.0,0.0,0.0,0.0,1.0,-0.2
adamsjo03,2025,1,BAL,AL,10,5,1,0,0,0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,-0.1
adamsma01,2020,1,ATL,NL,16,49,4,9,2,0,2,9.0,0.0,0.0,2,18.0,0.0,0.0,0.0,0.0,3.0,-0.4
adamsma01,2021,1,COL,NL,22,36,3,6,1,0,0,2.0,0.0,0.0,4,9.0,1.0,0.0,0.0,0.0,1.0,-0.3
adamsri03,2021,1,TOR,AL,12,28,2,3,2,0,0,0.0,0.0,0.0,2,12.0,0.0,0.0,0.0,0.0,1.0,-0.4
adamsri03,2021,2,WAS,NL,35,71,11,19,6,1,2,10.0,0.0,0.0,13,28.0,0.0,6.0,0.0,0.0,1.0,0.9
adamsri03,2022,1,WAS,NL,48,142,14,25,4,0,5,10.0,0.0,1.0,12,46.0,0.0,1.0,0.0,0.0,2.0,0.0
adamsri03,2023,1,WAS,NL,44,143,8,39,13,2,4,21.0,0.0,0.0,11,45.0,0.0,2.0,1.0,1.0,5.0,1.1
adamsri03,2024,1,WAS,NL,41,116,10,26,5,1,2,8.0,1.0,0.0,10,35.0,1.0,2.0,0.0,2.0,4.0,0.2
adamsri03,2025,1,WAS,NL,83,263,29,49,8,0,8,24.0,1.0,0.0,18,110.0,0.0,5.0,0.0,0.0,6.0,0.4
adelljo01,2020,1,LAA,AL,38,124,9,20,4,0,3,7.0,0.0,1.0,7,55.0,0.0,1.0,0.0,0.0,3.0,-1.4
adelljo01,2021,1,LAA,AL,35,130,17,32,5,2,4,26.0,2.0,1.0,8,32.0,0.0,1.0,1.0,0.0,3.0,0.2
adelljo01,2022,1,LAA,AL,88,268,22,60,12,2,8,27.0,4.0,2.0,11,107.0,0.0,4.0,0.0,1.0,6.0,-0.7
adelljo01,2023,1,LAA,AL,16,58,7,12,3,1,3,6.0,1.0,0.0,4,25.0,0.0,0.0,0.0,0.0,1.0,0.3
adelljo01,2024,1,LAA,AL,130,405,54,84,15,2,20,62.0,15.0,10.0,35,126.0,1.0,7.0,0.0,3.0,9.0,0.8
adelljo01,2025,1,LAA,AL,152,526,63,124,18,1,37,98.0,5.0,1.0,33,151.0,0.0,10.0,0.0,1.0,10.0,1.2
adonjo01,2021,1,WAS,NL,1,2,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
adriaeh01,2020,1,MIN,AL,44,89,10,17,7,0,0,3.0,1.0,0.0,11,23.0,0.0,1.0,0.0,0.0,3.0,0.2
adriaeh01,2021,1,ATL,NL,109,182,32,45,9,2,5,28.0,0.0,0.0,21,42.0,0.0,2.0,1.0,3.0,4.0,0.5
adriaeh01,2022,1,WAS,NL,31,84,5,15,2,0,0,7.0,1.0,0.0,8,22.0,0.0,1.0,0.0,1.0,2.0,-0.5
