playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
abadfe01,2021,1,BAL,AL,0,0,16,0,0,0,0,53,23,11,1.0,7,10,0.307,5.6,1.0,0.0,0.0,0.0,82.0,4.0,12,0.0,0.0,3.0
abadfe01,2023,1,COL,NL,1,0,6,0,0,0,0,19,11,3,2.0,3,2,0.379,4.26,0.0,0.0,0.0,0.0,32.0,2.0,3,0.0,0.0,2.0
abbotan01,2023,1,CIN,NL,8,6,21,21,0,0,0,328,100,47,16.0,44,120,0.244,3.87,0.0,1.0,1.0,1.0,459.0,0.0,47,0.0,5.0,6.0
abbotan01,2024,1,CIN,NL,10,10,25,25,0,0,0,414,127,57,25.0,52,114,0.24,3.72,1.0,5.0,2.0,0.0,586.0,0.0,60,1.0,2.0,6.0
abbotan01,2025,1,CIN,NL,10,7,29,29,1,1,0,499,148,53,19.0,43,149,0.235,2.87,0.0,4.0,3.0,0.0,684.0,0.0,60,3.0,4.0,10.0
abbotco01,2021,1,CHN,NL,0,0,7,1,0,0,0,52,20,13,7.0,11,12,0.286,6.75,0.0,2.0,0.0,0.0,82.0,2.0,15,1.0,0.0,0.0
abbotco01,2022,1,WAS,NL,0,5,16,9,0,0,0,144,44,28,12.0,25,45,0.239,5.25,0.0,2.0,5.0,0.0,216.0,7.0,30,0.0,2.0,0.0
abbotco01,2023,1,WAS,NL,1,2,22,0,0,0,0,118,48,29,9.0,19,40,0.306,6.64,0.0,4.0,4.0,1.0,183.0,10.0,29,0.0,3.0,5.0
abelmi01,2025,1,PHI,NL,2,2,6,6,0,0,0,75,25,14,7.0,9,21,0.255,5.04,0.0,2.0,1.0,0.0,108.0,0.0,14,0.0,0.0,1.0
abelmi01,2025,2,MIN,AL,1,2,4,2,0,0,0,42,18,13,1.0,7,18,0.305,8.36,0.0,0.0,0.0,0.0,66.0,1.0,14,0.0,0.0,2.0
